id_marks,id_targets,timestamps,ranges,azimuths,elevations,dopplers,powers,type,beam_ids,encoder_radian
6,0,15181,53013,5.013,0.020101,0,24683,0,-1,4.7799
16,0,15196,26812,5.0705,0.028432,0,127,0,-1,4.786
5,0,15163,52125,4.6471,0.023263,0,27570,0,-1,4.7922
13,0,15218,15012,5.0849,0.14739,0,2378,0,-1,4.7983
4,0,15181,35740,4.9263,0.014999,0,57423,0,-1,4.8106
12,0,15196,28762,4.665,0.028136,0,1395,0,-1,4.8106
20,0,15196,30872,4.7623,0.041166,0,58,0,-1,4.8351
7,0,15163,28618,4.8779,0.033648,0,2008,0,-1,4.8412
45,0,15388,12227,5.2164,0.20069,0,600,0,-1,4.9087
59,0,15542,15353,5.2905,0.1641,0,13173,0,-1,5.013
87,0,15777,33227,5.0614,0.10645,0,6121,0,-1,5.1542
118,0,16118,2.36E+05,5.6617,0.037705,0,27,0,-1,5.3505
129,0,16161,47100,5.6867,0.023016,0,1213,0,-1,5.3935
144,0,16322,1.12E+05,5.5625,0.027052,0,1719,0,-1,5.4671
143,0,16246,54097,5.6884,0.02453,0,1820,0,-1,5.4917
149,0,16321,80250,5.3896,0.026529,0,175,0,-1,5.4917
148,0,16321,68380,5.5294,0.025819,0,4442,0,-1,5.5162
154,0,16371,1.69E+05,5.8092,0.025749,0,203,0,-1,5.5223
146,0,16417,1.89E+05,5.7309,0.088568,0,6,0,-1,5.5346
168,0,16471,91125,5.89,0.024904,0,77,0,-1,5.5776
186,0,16617,28658,5.8385,0.045708,0,124,0,-1,5.7371
200,0,16763,1.76E+05,5.6,0.029063,0,25,0,-1,5.7678
206,0,16772,39825,6.0358,0.10355,0,170,0,-1,5.7862
213,0,16825,13296,6.0928,0.24444,0,2293,0,-1,5.823
229,0,17004,26963,6.0904,0.048614,0,763,0,-1,5.915
235,0,17054,1.99E+05,6.1583,0.039695,3,166,0,-1,5.9518
251,0,17147,3.56E+05,6.2193,0.034097,0,13,0,-1,6.0316
257,0,17238,1.91E+05,6.093,0.013872,0,42,0,-1,6.0746
